"applicant_id","applicant_date","applicant_time","cust_id","applicant_income","coapplicant_income","credit_history","property_area","loan_amount","loan_amount_term","loan_account_id"
"LP001002","20230601","103050","CI00000001","5849","0","1.00","Urban",\N,"360","LA3333000001"
"LP001003","20230601","115520","CI00000002","4583","1508","1.00","Rural","128","360","LA3333000002"
"LP001005","20230601","131011","CI00000003","3000","0","1.00","Urban","66","360","LA3333000003"
"LP001006","20230601","140555","CI00000004","2583","2358","1.00","Urban","120","360","LA3333000004"
"LP001008","20230601","154707","CI00000005","6000","0","1.00","Urban","141","360","LA3333000005"
"LP001011","20230602","101052","CI00000006","5417","4196","1.00","Urban","267","360","LA3333000006"
"LP001013","20230602","114513","CI00000007","2333","1516","1.00","Urban","95","360","LA3333000007"
"LP001014","20230602","132149","CI00000008","3036","2504","0.00","Semiurban","158","360","LA3333000008"
"LP001015","20230602","143428","CI00000009","5720","0","1.00","Urban","110","360","LA3333000009"
"LP001018","20230602","153549","CI00000010","4006","1526","1.00","Urban","168","360","LA3333000010"
"LP001020","20230603","095512","CI00000011","12841","10968","1.00","Semiurban","349","360","LA3333000011"
"LP001022","20230603","111550","CI00000012","3076","1500","1.00","Urban","126","360","LA3333000012"
"LP001024","20230603","131421","CI00000013","3200","700","1.00","Urban","70","360","LA3333000013"
"LP001027","20230603","142728","CI00000014","2500","1840","1.00","Urban","109","360","LA3333000014"
"LP001028","20230603","152512","CI00000015","3073","8106","1.00","Urban","200","360","LA3333000015"
"LP001029","20230604","103050","CI00000016","1853","2840","1.00","Rural","114","360","LA3333000016"
"LP001030","20230604","115520","CI00000017","1299","1086","1.00","Urban","17","120","LA3333000017"
"LP001031","20230604","131011","CI00000018","5000","1800","1.00","Urban","208","360","LA3333000018"
"LP001032","20230604","140555","CI00000019","4950","0","1.00","Urban","125","360","LA3333000019"
"LP001034","20230604","154707","CI00000020","3596","0","1.00","Urban","100","240","LA3333000020"
"LP001035","20230604","101052","CI00000021","2340","2546","1.00","Urban","100","360","LA3333000021"
"LP001036","20230605","114513","CI00000022","3510","0","0.00","Urban","76","360","LA3333000022"
"LP001038","20230605","132149","CI00000023","4887","0","1.00","Rural","133","360","LA3333000023"
"LP001041","20230605","143428","CI00000024","2600","3500","1.00","Urban","115",\N,"LA3333000024"
"LP001043","20230605","153549","CI00000025","7660","0","0.00","Urban","104","360","LA3333000025"
"LP001046","20230605","095512","CI00000026","5955","5625","1.00","Urban","315","360","LA3333000026"
"LP001047","20230606","111550","CI00000027","2600","1911","0.00","Semiurban","116","360","LA3333000027"
"LP001050","20230606","131421","CI00000028","3365","1917","0.00","Rural","112","360","LA3333000028"
"LP001051","20230606","142728","CI00000029","3276","0","1.00","Urban","78","360","LA3333000029"
"LP001052","20230606","152512","CI00000030","3717","2925","0.00","Semiurban","151","360","LA3333000030"
"LP001054","20230606","103050","CI00000031","2165","3422","1.00","Urban","152","360","LA3333000031"
"LP001055","20230606","115520","CI00000032","2226","0","1.00","Semiurban","59","360","LA3333000032"
"LP001056","20230607","131011","CI00000033","3881","0","0.00","Rural","147","360","LA3333000033"
"LP001059","20230607","140555","CI00000034","13633","0","1.00","Urban","280","240","LA3333000034"
"LP001066","20230607","154707","CI00000035","9560","0","1.00","Semiurban","191","360","LA3333000035"
"LP001067","20230607","101052","CI00000036","2400","2400","1.00","Semiurban","123","360","LA3333000036"
"LP001068","20230607","114513","CI00000037","2799","2253","1.00","Semiurban","122","360","LA3333000037"
"LP001073","20230608","132149","CI00000038","4226","1040","1.00","Urban","110","360","LA3333000038"
"LP001078","20230608","143428","CI00000039","3091","0","1.00","Urban","90","360","LA3333000039"
"LP001082","20230608","153549","CI00000040","2185","1516","1.00","Semiurban","162","360","LA3333000040"
"LP001083","20230608","095512","CI00000041","4166","0","1.00","Urban","40","180","LA3333000041"
"LP001086","20230608","111550","CI00000042","1442","0","1.00","Urban","35","360","LA3333000042"
"LP001087","20230609","131421","CI00000043","3750","2083","1.00","Semiurban","120","360","LA3333000043"
"LP001091","20230609","142728","CI00000044","4166","3369","0.00","Urban","201","360","LA3333000044"
"LP001094","20230609","152512","CI00000045","12173","0","0.00","Semiurban","166","360","LA3333000045"
"LP001095","20230609","103050","CI00000046","3167","0","1.00","Urban","74","360","LA3333000046"
"LP001096","20230609","115520","CI00000047","4666","0","1.00","Semiurban","124","360","LA3333000047"
"LP001097","20230609","131011","CI00000048","4692","0","1.00","Rural","106","360","LA3333000048"
"LP001098","20230610","140555","CI00000049","3500","1667","1.00","Semiurban","114","360","LA3333000049"
"LP001099","20230610","154707","CI00000050","5667","0","1.00","Urban","131","360","LA3333000050"
"LP001100","20230610","101052","CI00000051","12500","3000","1.00","Rural","320","360","LA3333000051"
"LP001105","20230610","114513","CI00000052","4583","2916","1.00","Urban","200","360","LA3333000052"
"LP001106","20230610","132149","CI00000053","2275","2067","1.00","Urban",\N,"360","LA3333000053"
"LP001107","20230611","143428","CI00000054","3786","333","1.00","Semiurban","126","360","LA3333000054"
"LP001108","20230611","153549","CI00000055","9226","7916","1.00","Urban","300","360","LA3333000055"
"LP001109","20230611","095512","CI00000056","1828","1330","0.00","Urban","100",\N,"LA3333000056"
"LP001112","20230611","111550","CI00000057","3667","1459","1.00","Semiurban","144","360","LA3333000057"
"LP001114","20230611","131421","CI00000058","4166","7210","1.00","Urban","184","360","LA3333000058"
"LP001115","20230612","142728","CI00000059","1300","3470","1.00","Semiurban","100","180","LA3333000059"
"LP001116","20230612","152512","CI00000060","3748","1668","1.00","Semiurban","110","360","LA3333000060"
"LP001119","20230612","103050","CI00000061","3600","0","1.00","Urban","80","360","LA3333000061"
"LP001120","20230612","115520","CI00000062","1800","1213","1.00","Urban","47","360","LA3333000062"
"LP001121","20230612","131011","CI00000063","1888","1620","1.00","Urban","48","360","LA3333000063"
"LP001123","20230613","140555","CI00000064","2400","0","1.00","Urban","75","360","LA3333000064"
"LP001124","20230613","154707","CI00000065","2083","0","1.00","Urban","28","180","LA3333000065"
"LP001128","20230613","101052","CI00000066","3909","0","1.00","Urban","101","360","LA3333000066"
"LP001131","20230613","114513","CI00000067","3941","2336","1.00","Semiurban","134","360","LA3333000067"
"LP001135","20230613","132149","CI00000068","3765","0","1.00","Urban","125","360","LA3333000068"
"LP001136","20230614","143428","CI00000069","4695","0","1.00","Urban","96",\N,"LA3333000069"
"LP001137","20230614","153549","CI00000070","3410","0","1.00","Urban","88",\N,"LA3333000070"
"LP001138","20230614","095512","CI00000071","5649","0","1.00","Urban","44","360","LA3333000071"
"LP001144","20230614","111550","CI00000072","5821","0","1.00","Urban","144","360","LA3333000072"
"LP001146","20230614","131421","CI00000073","2645","3440","0.00","Urban","120","360","LA3333000073"
"LP001149","20230614","142728","CI00000074","5400","4380","1.00","Urban","290","360","LA3333000074"
"LP001151","20230615","152512","CI00000075","4000","2275","1.00","Semiurban","144","360","LA3333000075"
"LP001153","20230615","103050","CI00000076","0","24000","0.00","Rural","148","360","LA3333000076"
"LP001155","20230615","115520","CI00000077","1928","1644","1.00","Semiurban","100","360","LA3333000077"
"LP001157","20230615","131011","CI00000078","3086","0","1.00","Semiurban","120","360","LA3333000078"
"LP001163","20230615","140555","CI00000079","4363","1250","0.00","Urban","140","360","LA3333000079"
"LP001164","20230615","154707","CI00000080","4230","0","1.00","Semiurban","112","360","LA3333000080"
"LP001169","20230616","101052","CI00000081","7500","3750","1.00","Urban","275","360","LA3333000081"
"LP001174","20230616","114513","CI00000082","3772","833","0.00","Semiurban","57","360","LA3333000082"
"LP001176","20230616","132149","CI00000083","2942","2382","1.00","Urban","125","180","LA3333000083"
"LP001177","20230616","143428","CI00000084","2478","0","1.00","Semiurban","75","360","LA3333000084"
"LP001179","20230616","153549","CI00000085","4616","0","1.00","Urban","134","360","LA3333000085"
"LP001183","20230616","095512","CI00000086","6250","820","1.00","Urban","192","360","LA3333000086"
"LP001185","20230617","111550","CI00000087","3268","1683","1.00","Semiurban","152","360","LA3333000087"
"LP001186","20230617","131421","CI00000088","11500","0","0.00","Urban","286","360","LA3333000088"
"LP001187","20230617","142728","CI00000089","2783","2708","1.00","Urban","158","360","LA3333000089"
"LP001190","20230617","152512","CI00000090","2740","1541","1.00","Urban","101","360","LA3333000090"
"LP001194","20230617","103050","CI00000091","2708","1167","1.00","Semiurban","97","360","LA3333000091"
"LP001195","20230618","115520","CI00000092","2132","1591","1.00","Semiurban","96","360","LA3333000092"
"LP001197","20230618","131011","CI00000093","3366","2200","1.00","Rural","135","360","LA3333000093"
"LP001198","20230618","140555","CI00000094","8080","2250","1.00","Urban","180","360","LA3333000094"
"LP001199","20230618","154707","CI00000095","3357","2859","1.00","Urban","144","360","LA3333000095"
"LP001203","20230618","101052","CI00000096","3150","0","0.00","Semiurban","176","360","LA3333000096"
"LP001205","20230619","114513","CI00000097","2500","3796","1.00","Urban","120","360","LA3333000097"
"LP001206","20230619","132149","CI00000098","3029","0","1.00","Urban","99","360","LA3333000098"
"LP001207","20230619","143428","CI00000099","2609","3449","0.00","Rural","165","180","LA3333000099"
"LP001208","20230619","153549","CI00000100","7350","4029","1.00","Urban","185","180","LA3333000100"
"LP001210","20230619","095512","CI00000101","2267","2792","1.00","Urban","90","360","LA3333000101"
"LP001211","20230619","111550","CI00000102","5833","0","1.00","Urban","116","360","LA3333000102"
"LP001213","20230620","131421","CI00000103","4945","0","0.00","Rural",\N,"360","LA3333000103"
"LP001219","20230620","142728","CI00000104","3643","1963","1.00","Urban","138","360","LA3333000104"
"LP001220","20230620","152512","CI00000105","5629","818","1.00","Urban","100","360","LA3333000105"
"LP001221","20230620","103050","CI00000106","3644","0","1.00","Urban","110","360","LA3333000106"
"LP001222","20230620","115520","CI00000107","4166","0","0.00","Semiurban","116","360","LA3333000107"
