"loan_account_id","registration_date","registration_time","loan_default"
"LA3333000002","20230715","115520","Yes"
"LA3333000011","20230831","095512","Yes"
"LA3333000016","20230728","103050","Yes"
"LA3333000022","20230716","114513","Yes"
"LA3333000023","20230811","132149","Yes"
"LA3333000025","20230717","153549","Yes"
"LA3333000027","20230829","111550","Yes"
"LA3333000028","20230812","131421","Yes"
"LA3333000030","20230830","152512","Yes"
"LA3333000033","20230715","131011","Yes"
"LA3333000042","20230805","111550","Yes"
"LA3333000044","20230718","142728","Yes"
"LA3333000045","20230725","152512","Yes"
"LA3333000048","20230727","131011","Yes"
"LA3333000051","20230818","101052","Yes"
"LA3333000056","20230718","095512","Yes"
"LA3333000073","20230722","131421","Yes"
"LA3333000076","20230805","103050","Yes"
"LA3333000088","20230730","131421","Yes"
"LA3333000093","20230730","131011","Yes"
"LA3333000096","20230811","101052","Yes"
"LA3333000099","20230905","143428","Yes"
"LA3333000107","20230802","115520","Yes"
"LA3333000110","20230802","154707","Yes"
"LA3333000117","20230729","111550","Yes"
"LA3333000122","20230811","115520","Yes"
"LA3333000124","20230902","140555","Yes"
"LA3333000125","20230731","154707","Yes"
"LA3333000126","20230730","101052","Yes"
"LA3333000131","20230805","095512","Yes"
"LA3333000146","20230808","095512","Yes"
"LA3333000153","20230809","131011","Yes"
"LA3333000156","20230806","101052","Yes"
"LA3333000165","20230824","152512","Yes"
"LA3333000170","20230913","154707","Yes"
"LA3333000173","20230809","132149","Yes"
"LA3333000180","20230818","152512","Yes"
"LA3333000188","20230815","132149","Yes"
"LA3333000200","20230911","154707","Yes"
"LA3333000209","20230930","142728","Yes"
"LA3333000213","20230815","131011","Yes"
"LA3333000214","20230901","140555","Yes"
"LA3333000217","20230820","114513","Yes"
"LA3333000229","20230918","140555","Yes"
"LA3333000230","20230826","154707","Yes"
"LA3333000233","20231011","132149","Yes"
"LA3333000234","20230819","143428","Yes"
"LA3333000248","20230825","132149","Yes"
"LA3333000251","20230829","095512","Yes"
"LA3333000254","20230826","142728","Yes"
"LA3333000259","20230826","140555","Yes"
"LA3333000268","20230903","131421","Yes"
"LA3333000269","20231013","142728","Yes"
"LA3333000277","20231012","114513","Yes"
"LA3333000279","20230912","143428","Yes"
"LA3333000284","20230829","142728","Yes"
"LA3333000290","20230907","154707","Yes"
"LA3333000291","20230927","101052","Yes"
"LA3333000295","20230901","153549","Yes"
"LA3333000296","20230907","095512","Yes"
"LA3333000297","20230904","111550","Yes"
"LA3333000301","20231016","103050","Yes"
"LA3333000302","20230901","115520","Yes"
"LA3333000303","20230902","131011","Yes"
"LA3333000308","20230905","132149","Yes"
"LA3333000314","20230906","142728","Yes"
"LA3333000316","20231024","103050","Yes"
"LA3333000317","20230908","115520","Yes"
"LA3333000318","20230904","131011","Yes"
"LA3333000321","20231007","101052","Yes"
"LA3333000324","20230908","143428","Yes"
"LA3333000329","20231001","142728","Yes"
"LA3333000342","20230915","111550","Yes"
"LA3333000349","20230920","140555","Yes"
"LA3333000352","20230911","114513","Yes"
"LA3333000355","20230913","153549","Yes"
"LA3333000364","20230919","140555","Yes"
"LA3333000377","20230916","115520","Yes"
"LA3333000378","20230919","131011","Yes"
"LA3333000381","20230916","101052","Yes"
"LA3333000392","20231031","115520","Yes"
"LA3333000395","20230919","154707","Yes"
"LA3333000403","20230929","131421","Yes"
"LA3333000404","20231019","142728","Yes"
"LA3333000408","20231022","131011","Yes"
"LA3333000410","20230929","154707","Yes"
"LA3333000411","20230923","101052","Yes"
"LA3333000412","20231003","114513","Yes"
"LA3333000417","20231026","111550","Yes"
"LA3333000421","20231018","103050","Yes"
"LA3333000429","20230926","143428","Yes"
"LA3333000440","20231114","154707","Yes"
"LA3333000444","20231006","143428","Yes"
"LA3333000450","20231011","152512","Yes"
"LA3333000451","20230930","103050","Yes"
"LA3333000453","20231028","131011","Yes"
"LA3333000456","20231022","101052","Yes"
"LA3333000462","20231002","111550","Yes"
"LA3333000465","20231006","152512","Yes"
"LA3333000468","20231002","131011","Yes"
"LA3333000471","20231010","101052","Yes"
"LA3333000472","20231116","114513","Yes"
"LA3333000479","20231008","142728","Yes"
"LA3333000480","20231009","152512","Yes"
"LA3333000482","20231005","115520","Yes"
"LA3333000483","20231024","131011","Yes"
"LA3333000484","20231117","140555","Yes"
"LA3333000496","20231015","103050","Yes"
"LA3333000507","20231016","111550","Yes"
"LA3333000518","20231030","132149","Yes"
"LA3333000520","20231024","153549","Yes"
"LA3333000521","20231127","095512","Yes"
"LA3333000525","20231105","152512","Yes"
"LA3333000542","20231021","115520","Yes"
"LA3333000544","20231202","140555","Yes"
"LA3333000545","20231017","154707","Yes"
"LA3333000554","20231111","142728","Yes"
"LA3333000559","20231025","140555","Yes"
"LA3333000561","20231021","101052","Yes"
"LA3333000566","20231025","095512","Yes"
"LA3333000568","20231028","131421","Yes"
"LA3333000570","20231027","152512","Yes"
"LA3333000573","20231030","131011","Yes"
"LA3333000580","20231028","153549","Yes"
"LA3333000584","20231029","142728","Yes"
"LA3333000585","20231025","152512","Yes"
"LA3333000587","20231201","115520","Yes"
"LA3333000593","20231024","132149","Yes"
"LA3333000600","20231104","152512","Yes"
"LA3333000610","20231102","153549","Yes"
"LA3333000616","20231030","103050","Yes"
"LA3333000625","20231106","153549","Yes"
"LA3333000629","20231104","142728","Yes"
"LA3333000630","20231111","152512","Yes"
"LA3333000631","20231106","103050","Yes"
"LA3333000633","20231102","131011","Yes"
"LA3333000637","20231219","114513","Yes"
"LA3333000644","20231112","142728","Yes"
"LA3333000645","20231114","152512","Yes"
"LA3333000646","20231106","103050","Yes"
"LA3333000647","20231111","115520","Yes"
"LA3333000649","20231113","140555","Yes"
"LA3333000652","20231109","114513","Yes"
"LA3333000656","20231216","095512","Yes"
"LA3333000660","20231108","152512","Yes"
"LA3333000663","20231109","131011","Yes"
"LA3333000667","20231113","114513","Yes"
"LA3333000668","20231110","132149","Yes"
"LA3333000672","20231228","111550","Yes"
"LA3333000675","20231116","152512","Yes"
"LA3333000682","20231227","114513","Yes"
"LA3333000693","20231119","131011","Yes"
"LA3333000697","20231121","114513","Yes"
"LA3333000712","20231124","114513","Yes"
"LA3333000715","20231119","153549","Yes"
"LA3333000717","20240102","111550","Yes"
"LA3333000719","20231205","142728","Yes"
"LA3333000727","20231218","114513","Yes"
"LA3333000738","20231202","131011","Yes"
"LA3333000741","20231123","101052","Yes"
"LA3333000742","20231202","114513","Yes"
"LA3333000747","20231128","111550","Yes"
"LA3333000756","20231229","101052","Yes"
"LA3333000764","20231204","142728","Yes"
"LA3333000765","20240109","152512","Yes"
"LA3333000767","20231201","115520","Yes"
"LA3333000771","20240114","101052","Yes"
"LA3333000791","20240102","095512","Yes"
"LA3333000796","20231210","103050","Yes"
"LA3333000801","20231209","101052","Yes"
"LA3333000810","20240114","152512","Yes"
"LA3333000815","20231213","154707","Yes"
"LA3333000816","20240102","101052","Yes"
"LA3333000817","20240101","114513","Yes"
"LA3333000822","20231215","111550","Yes"
"LA3333000823","20231207","131421","Yes"
"LA3333000824","20231214","142728","Yes"
"LA3333000829","20231231","140555","Yes"
"LA3333000834","20231215","143428","Yes"
"LA3333000840","20231210","152512","Yes"
"LA3333000841","20240105","103050","Yes"
"LA3333000847","20240120","114513","Yes"
"LA3333000850","20231214","153549","Yes"
"LA3333000854","20231222","142728","Yes"
"LA3333000863","20231222","132149","Yes"
"LA3333000866","20240123","095512","Yes"
"LA3333000868","20231221","131421","Yes"
"LA3333000870","20240111","152512","Yes"
"LA3333000876","20240107","101052","Yes"
"LA3333000877","20231216","114513","Yes"
"LA3333000901","20240105","111550","Yes"
"LA3333000913","20240101","143428","Yes"
"LA3333000915","20240105","095512","Yes"
"LA3333000916","20231224","111550","Yes"
"LA3333000932","20231229","142728","Yes"
"LA3333000936","20240218","131011","Yes"
"LA3333000938","20240121","154707","Yes"
"LA3333000939","20240104","101052","Yes"
"LA3333000943","20231231","153549","Yes"
"LA3333000945","20240105","111550","Yes"
"LA3333000947","20240101","142728","Yes"
"LA3333000954","20240103","101052","Yes"
"LA3333000955","20240110","114513","Yes"
"LA3333000958","20240108","153549","Yes"
"LA3333000981","20240112","131011","Yes"
"LA3333000983","20240130","115520","Yes"
"LA3333000989","20240219","132149","Yes"
"LA3333000992","20240111","095512","Yes"
"LA3333000997","20240113","103050","Yes"
"LA3333001003","20240111","114513","Yes"
"LA3333001004","20240127","132149","Yes"
"LA3333001006","20240213","153549","Yes"
"LA3333001008","20240113","111550","Yes"
"LA3333001009","20240129","131421","Yes"
"LA3333001011","20240112","152512","Yes"
"LA3333001014","20240117","131011","Yes"
"LA3333001023","20240118","111550","Yes"
"LA3333001025","20240123","142728","Yes"
"LA3333001026","20240301","152512","Yes"
"LA3333001027","20240117","103050","Yes"
"LA3333001029","20240123","131011","Yes"
